1001/100 7+8
993	100 2/9
994	100 3/9
995	100 4/9
996	100 5/9
997	100 6/9
998	100 7/9
999	A
1000	100 8/9
1001	101 0/9
1002	101 1/9
1003	101 2/9
1004	101 3/9
1005	101 4/9
1006	101 5/9
1007	A
1008	101 6/9
1009	101 7/9
1010	101 8/9
1011	102 0/9
1012	102 1/9
1013	102 2/9
1014	102 3/9
1015	A
1016	102 4/9
1017	102 5/9
1018	102 6/9
1019	102 7/9
1020	102 8/9
1021	103 0/9
1022	103 1/9
1023	A
1024	103 2/9
1025	103 3/9
1026	103 4/9
1027	103 5/9
1028	103 6/9
1029	103 7/9
1030	103 8/9
1031	A
1032	104 0/8
1033	104 1/8
1034	104 2/8
1035	104 3/8
1036	104 4/8
1037	104 5/8
1038	104 6/8
1039	A
1040	104 7/8
1041	105 0/9
1042	105 1/9
1043	105 2/9
1044	105 3/9
1045	105 4/9
1046	105 5/9
1047	A
1048	105 6/9
1049	105 7/9
1050	105 8/9
1051	106 0/9
1052	106 1/9
1053	106 2/9
1054	106 3/9
1055	A
1056	106 4/9
1057	106 5/9
1058	106 6/9
1059	106 7/9
1060	106 8/9
1061	107 0/9
1062	107 1/9
1063	A
1064	107 2/9
1065	107 3/9
1066	107 4/9
1067	107 5/9
1068	107 6/9
1069	107 7/9
1070	107 8/9
1071	A
1072	108 0/8
1073	108 1/8
1074	108 2/8
1075	108 3/8
1076	108 4/8
1077	108 5/8
1078	108 6/8
1079	A
1080	108 7/8
1081	109 0/9
1082	109 1/9
1083	109 2/9
1084	109 3/9
1085	109 4/9
1086	109 5/9
1087	A
1088	109 6/9
1089	109 7/9
1090	109 8/9
1091	110 0/9
1092	110 1/9
1093	110 2/9
1094	110 3/9
1095	A
1096	110 4/9
1097	110 5/9
1098	110 6/9
1099	110 7/9
1100	110 8/9
1101	111 0/9
1102	111 1/9
1103	A
1104	111 2/9
1105	111 3/9
1106	111 4/9
1107	111 5/9
1108	111 6/9
1109	111 7/9
1110	111 8/9
1111	A
1112	112 0/8
1113	112 1/8
1114	112 2/8
1115	112 3/8
1116	112 4/8
1117	112 5/8
1118	112 6/8
1119	A
1120	112 7/8
1121	113 0/9
1122	113 1/9
1123	113 2/9
1124	113 3/9
1125	113 4/9
1126	113 5/9
1127	A
1128	113 6/9
1129	113 7/9
1130	113 8/9
1131	114 0/9
1132	114 1/9
1133	114 2/9
1134	114 3/9
1135	A
1136	114 4/9
1137	114 5/9
1138	114 6/9
1139	114 7/9
1140	114 8/9
1141	115 0/9
1142	115 1/9
1143	A
1144	115 2/9
1145	115 3/9
1146	115 4/9
1147	115 5/9
1148	115 6/9
1149	115 7/9
1150	115 8/9
1151	A
1152	116 0/8
1153	116 1/8
1154	116 2/8
1155	116 3/8
1156	116 4/8
1157	116 5/8
1158	116 6/8
1159	A
1160	116 7/8
1161	117 0/9
1162	117 1/9
1163	117 2/9
1164	117 3/9
1165	117 4/9
1166	117 5/9
1167	A
1168	117 6/9
1169	117 7/9
1170	117 8/9
1171	118 0/9
1172	118 1/9
1173	118 2/9
1174	118 3/9
1175	A
1176	118 4/9
1177	118 5/9
1178	118 6/9
1179	118 7/9
1180	118 8/9
1181	119 0/9
1182	119 1/9
1183	A
1184	119 2/9
1185	119 3/9
1186	119 4/9
1187	119 5/9
1188	119 6/9
1189	119 7/9
1190	119 8/9
1191	A
1192	120 0/8
1193	120 1/8
1194	120 2/8
1195	120 3/8
1196	120 4/8
1197	120 5/8
1198	120 6/8
1199	A
1200	120 7/8
1201	121 0/9
1202	121 1/9
1203	121 2/9
1204	121 3/9
1205	121 4/9
1206	121 5/9
1207	A
1208	121 6/9
1209	121 7/9
1210	121 8/9
1211	122 0/9
1212	122 1/9
1213	122 2/9
1214	122 3/9
1215	A
1216	122 4/9
1217	122 5/9
1218	122 6/9
1219	122 7/9
1220	122 8/9
1221	123 0/9
1222	123 1/9
1223	A
1224	123 2/9
1225	123 3/9
1226	123 4/9
1227	123 5/9
1228	123 6/9
1229	123 7/9
1230	123 8/9
1231	A
1232	124 0/8
1233	124 1/8
1234	124 2/8
1235	124 3/8
1236	124 4/8
1237	124 5/8
1238	124 6/8
1239	A
1240	124 7/8
1241	125 0/9
1242	125 1/9
1243	125 2/9
1244	125 3/9
1245	125 4/9
1246	125 5/9
1247	A
1248	125 6/9
1249	125 7/9
1250	125 8/9
1251	126 0/9
1252	126 1/9
1253	126 2/9
1254	126 3/9
1255	A
1256	126 4/9
1257	126 5/9
1258	126 6/9
1259	126 7/9
1260	126 8/9
1261	127 0/9
1262	127 1/9
1263	A
1264	127 2/9
1265	127 3/9
1266	127 4/9
1267	127 5/9
1268	127 6/9
1269	127 7/9
1270	127 8/9
1271	A
1272	128 0/8
1273	128 1/8
1274	128 2/8
1275	128 3/8
1276	128 4/8
1277	128 5/8
1278	128 6/8
1279	A
1280	128 7/8
1281	129 0/9
1282	129 1/9
1283	129 2/9
1284	129 3/9
1285	129 4/9
1286	129 5/9
1287	A
1288	129 6/9
1289	129 7/9
1290	129 8/9
1291	130 0/9
1292	130 1/9
1293	130 2/9
1294	130 3/9
1295	A
1296	130 4/9
1297	130 5/9
1298	130 6/9
1299	130 7/9
1300	130 8/9
1301	131 0/9
1302	131 1/9
1303	A
1304	131 2/9
1305	131 3/9
1306	131 4/9
1307	131 5/9
1308	131 6/9
1309	131 7/9
1310	131 8/9
1311	A
1312	132 0/8
1313	132 1/8
1314	132 2/8
1315	132 3/8
1316	132 4/8
1317	132 5/8
1318	132 6/8
1319	A
1320	132 7/8
1321	133 0/9
1322	133 1/9
1323	133 2/9
1324	133 3/9
1325	133 4/9
1326	133 5/9
1327	A
1328	133 6/9
1329	133 7/9
1330	133 8/9
1331	134 0/9
1332	134 1/9
1333	134 2/9
1334	134 3/9
1335	A
1336	134 4/9
1337	134 5/9
1338	134 6/9
1339	134 7/9
1340	134 8/9
1341	135 0/9
1342	135 1/9
1343	A
1344	135 2/9
1345	135 3/9
1346	135 4/9
1347	135 5/9
1348	135 6/9
1349	135 7/9
1350	135 8/9
1351	A
1352	136 0/8
1353	136 1/8
1354	136 2/8
1355	136 3/8
1356	136 4/8
1357	136 5/8
1358	136 6/8
1359	A
1360	136 7/8
1361	137 0/9
1362	137 1/9
1363	137 2/9
1364	137 3/9
1365	137 4/9
1366	137 5/9
1367	A
1368	137 6/9
1369	137 7/9
1370	137 8/9
1371	138 0/9
1372	138 1/9
1373	138 2/9
1374	138 3/9
1375	A
1376	138 4/9
1377	138 5/9
1378	138 6/9
1379	138 7/9
1380	138 8/9
1381	139 0/9
1382	139 1/9
1383	A
1384	139 2/9
1385	139 3/9
1386	139 4/9
1387	139 5/9
1388	139 6/9
1389	139 7/9
1390	139 8/9
1391	A
1392	140 0/8
1393	140 1/8
1394	140 2/8
1395	140 3/8
1396	140 4/8
1397	140 5/8
1398	140 6/8
1399	A
1400	140 7/8
1401	141 0/9
1402	141 1/9
1403	141 2/9
1404	141 3/9
1405	141 4/9
1406	141 5/9
1407	A
1408	141 6/9
1409	141 7/9
1410	141 8/9
1411	142 0/9
1412	142 1/9
1413	142 2/9
1414	142 3/9
1415	A
1416	142 4/9
1417	142 5/9
