3003/400	7+8	(Soul	Blade)
1247	X
1248	167	1/6
1249	167	2/6
1250	167	3/6
1251	167	4/6
1252	167	5/6
1253	168	0/7
1254	168	1/7
1255	X
1256	168	2/7
1257	168	3/7
1258	168	4/7
1259	168	5/7
1260	168	6/7
1261	169	0/6
1262	169	1/6
1263	X
1264	169	2/6
1265	169	3/6
1266	169	4/6
1267	169	5/6
1268	170	0/7
1269	170	1/7
1270	170	2/7
1271	X
1272	170	3/7
1273	170	4/7
1274	170	5/7
1275	170	6/7
1276	171	0/6
1277	171	1/6
1278	171	2/6
1279	X
1280	171	3/6
1281	171	4/6
1282	171	5/6
1283	172	0/7
1284	172	1/7
1285	172	2/7
1286	172	3/7
1287	X
1288	172	4/7
1289	172	5/7
1290	172	6/7
1291	173	0/6
1292	173	1/6
1293	173	2/6
1294	173	3/6
1295	X
1296	173	4/6
1297	173	5/6
1298	174	0/7
1299	174	1/7
1300	174	2/7
1301	174	3/7
1302	174	4/7
1303	X
1304	174	5/7
1305	174	6/7
1306	175	0/6
1307	175	1/6
1308	175	2/6
1309	175	3/6
1310	175	4/6
1311	X
1312	175	5/6
1313	176	0/7
1314	176	1/7
1315	176	2/7
1316	176	3/7
1317	176	4/7
1318	176	5/7
1319	X
1320	176	6/7
1321	177	0/7
1322	177	1/7
1323	177	2/7
1324	177	3/7
1325	177	4/7
1326	177	5/7
1327	X
1328	177	6/7
1329	178	0/7
1330	178	1/7
1331	178	2/7
1332	178	3/7
1333	178	4/7
1334	178	5/7
1335	X
1336	178	6/7
1337	179	0/6
1338	179	1/6
1339	179	2/6
1340	179	3/6
1341	179	4/6
1342	179	5/6
1343	X
1344	180	0/7
1345	180	1/7
1346	180	2/7
1347	180	3/7
1348	180	4/7
1349	180	5/7
1350	180	6/7
1351	X
1352	181	0/6
1353	181	1/6
1354	181	2/6
1355	181	3/6
1356	181	4/6
1357	181	5/6
1358	182	0/7
1359	X
1360	182	1/7
1361	182	2/7
1362	182	3/7
1363	182	4/7
1364	182	5/7
1365	182	6/7
1366	183	0/6
1367	X
1368	183	1/6
1369	183	2/6
1370	183	3/6
1371	183	4/6
1372	183	5/6
1373	184	0/7
1374	184	1/7
1375	X
1376	184	2/7
1377	184	3/7
1378	184	4/7
1379	184	5/7
1380	184	6/7
1381	185	0/6
1382	185	1/6
1383	X
1384	185	2/6
1385	185	3/6
1386	185	4/6
1387	185	5/6
1388	186	0/7
1389	186	1/7
1390	186	2/7
1391	X
1392	186	3/7
1393	186	4/7
1394	186	5/7
1395	186	6/7
1396	187	0/6
1397	187	1/6
1398	187	2/6
1399	X
1400	187	3/6
1401	187	4/6
1402	187	5/6
1403	188	0/7
1404	188	1/7
1405	188	2/7
1406	188	3/7
1407	X
1408	188	4/7
1409	188	5/7
1410	188	6/7
1411	189	0/6
1412	189	1/6
1413	189	2/6
1414	189	3/6
1415	X
1416	189	4/6
1417	189	5/6
1418	190	0/7
1419	190	1/7
1420	190	2/7
1421	190	3/7
1422	190	4/7
1423	X
1424	190	5/7
1425	190	6/7
1426	191	0/6
1427	191	1/6
1428	191	2/6
1429	191	3/6
1430	191	4/6
1431	X
1432	191	5/6
1433	192	0/7
1434	192	1/7
1435	192	2/7
1436	192	3/7
1437	192	4/7
1438	192	5/7
1439	X
1440	192	6/7
1441	193	0/7
1442	193	1/7
1443	193	2/7
1444	193	3/7
1445	193	4/7
1446	193	5/7
1447	X
1448	193	6/7
